Artifact Type,Program Name,File Name,Path,Date/Time,Description,URL,User,Size
TSK_WEB_HISTORY,,,"http://zqktlwi4fecvo6ri.onion/",2024-04-02 02:15:44,The Hidden Wiki - Dark Web,,alex_r,
TSK_WEB_HISTORY,,,"https://www.torproject.org/download/",2024-04-01 23:58:01,Tor Browser Download,,alex_r,
TSK_WEB_HISTORY,,,"http://darknetlive.com/",2024-04-02 01:30:22,Darknet Live Portal,,alex_r,
TSK_WEB_HISTORY,,,"https://bitcointalk.org/",2024-04-01 22:44:10,Bitcoin Dark Web Forum,,alex_r,
TSK_EMAIL_MESSAGE,,,,2024-04-02 03:05:18,"From: anon@protonmail.com To: buyer123@tutanota.com Subject: XMR payment received",,alex_r,
TSK_EMAIL_MESSAGE,,,,2024-04-01 22:30:00,"From: vendor_elite@protonmail.com Subject: Shipment tracking WT7823DE",,alex_r,
TSK_DEVICE_ATTACHED,,,E:,2024-04-02 01:00:00,"Kingston DataTraveler 32GB - Serial: 0018F3A92B11",,alex_r,
TSK_INSTALLED_PROG,Tor Browser 13.0,,C:\Users\alex_r\Desktop\Tor,2024-03-28 20:00:00,Anonymous Browsing Tool,,alex_r,
TSK_INSTALLED_PROG,VeraCrypt 1.25,,C:\Program Files\VeraCrypt,2024-03-20 11:00:00,Disk Encryption,,alex_r,
TSK_INSTALLED_PROG,Electrum Wallet,,C:\Users\alex_r\AppData\Roaming\Electrum,2024-03-15 09:00:00,Cryptocurrency Wallet,,alex_r,
TSK_OS_ACCOUNT,,,C:\Users\alex_r,2024-04-02 00:50:00,"Username: alex_r | Last Login: 2024-04-02",,alex_r,
TSK_RECYCLE_BIN,,transaction_history_xmr.csv,C:\$Recycle.Bin\,2024-04-02 03:30:00,Deleted Monero Transactions,,alex_r,102400
TSK_RECYCLE_BIN,,vendor_contacts_darkweb.txt,C:\$Recycle.Bin\,2024-04-02 03:31:00,Deleted Vendor Contacts,,alex_r,8192
TSK_KEYWORD_HIT,,,Browser History,2024-04-02 02:15:44,"Search: buy substances dark web [CRITICAL]",,alex_r,
TSK_KEYWORD_HIT,,,Browser History,2024-04-01 23:00:00,"Search: monero untraceable cryptocurrency [HIGH]",,alex_r,
