Artifact Type,Program Name,File Name,Path,Date/Time,Description,URL,User,Size
TSK_WEB_HISTORY,,,"http://zqktlwi4fecvo6ri.onion/",2024-04-01 22:00:00,The Hidden Wiki - Dark Web,,alex_r,
TSK_WEB_HISTORY,,,"https://www.torproject.org/download/",2024-04-01 23:00:00,Tor Browser Download,,alex_r,
TSK_WEB_HISTORY,,,"http://darknetlive.com/",2024-04-02 00:00:00,Darknet Live Portal,,alex_r,
TSK_WEB_HISTORY,,,"https://bitcointalk.org/",2024-04-02 01:00:00,Bitcoin Dark Web Forum,,alex_r,
TSK_WEB_HISTORY,,,"http://moneroworld.com",2024-04-02 02:00:00,Monero Wallet Resources,,alex_r,
TSK_WEB_HISTORY,,,"https://localmonero.co",2024-04-02 03:00:00,LocalMonero Trading,,alex_r,
TSK_WEB_HISTORY,,,"http://alphabaymarket.onion",2024-04-02 04:00:00,AlphaBay Marketplace,,alex_r,
TSK_WEB_HISTORY,,,"https://protonmail.com",2024-04-02 05:00:00,ProtonMail Anonymous Email,,alex_r,
TSK_WEB_HISTORY,,,"https://tutanota.com",2024-04-02 06:00:00,Tutanota Encrypted Email,,alex_r,
TSK_WEB_HISTORY,,,"http://silkroadreloaded.onion",2024-04-02 07:00:00,Silk Road Reloaded,,alex_r,
TSK_EMAIL_MESSAGE,,,,2024-04-02 01:00:00,"From: anon@protonmail.com To: buyer123@tutanota.com Subject: XMR payment received -- Package confirmed - payment processed",,alex_r,
TSK_EMAIL_MESSAGE,,,,2024-04-02 02:00:00,"From: vendor_elite@protonmail.com To: alex_r@protonmail.com Subject: Shipment tracking -- WT7823DE - customs cleared",,alex_r,
TSK_EMAIL_MESSAGE,,,,2024-04-02 03:00:00,"From: alex_r@protonmail.com To: supplier_99@tutanota.com Subject: Order #4421 -- Placed new order with payment",,alex_r,
TSK_DEVICE_ATTACHED,,,E:,2024-04-02 01:00:00,"Kingston DataTraveler 32GB - Serial: 0018F3A92B11",,alex_r,
TSK_INSTALLED_PROG,Tor Browser 13.0,,"C:\Users\alex_r\Desktop\Tor",2024-03-25 10:00:00,Anonymous Browsing Tool,,alex_r,
TSK_INSTALLED_PROG,VeraCrypt 1.25,,"C:\Program Files\VeraCrypt",2024-03-25 10:00:00,Disk Encryption,,alex_r,
TSK_INSTALLED_PROG,Electrum Wallet 4.3,,"C:\Users\alex_r\AppData\Electrum",2024-03-25 10:00:00,Cryptocurrency Wallet,,alex_r,
TSK_INSTALLED_PROG,PGP Desktop 10.3,,"C:\Program Files\PGP",2024-03-25 10:00:00,Encrypted Communications,,alex_r,
TSK_INSTALLED_PROG,Tails OS USB,,"E:\",2024-03-25 10:00:00,Anonymous OS on USB,,alex_r,
TSK_INSTALLED_PROG,Whonix Gateway,,"C:\Users\alex_r\VMs\Whonix",2024-03-25 10:00:00,Anonymizing VM,,alex_r,
TSK_RECYCLE_BIN,,transaction_history_xmr.csv,"C:\$Recycle.Bin\",2024-04-02 03:00:00,Deleted Monero Transactions,,alex_r,102400
TSK_RECYCLE_BIN,,vendor_contacts_darkweb.txt,"C:\$Recycle.Bin\",2024-04-02 03:00:00,Deleted Vendor Contacts,,alex_r,8192
TSK_RECYCLE_BIN,,order_receipts_2024.pdf,"C:\$Recycle.Bin\",2024-04-02 03:00:00,Deleted Order Receipts,,alex_r,204800
TSK_RECYCLE_BIN,,crypto_keys_backup.gpg,"C:\$Recycle.Bin\",2024-04-02 03:00:00,Deleted Crypto Keys,,alex_r,4096
TSK_RECYCLE_BIN,,marketplace_chat_logs.db,"C:\$Recycle.Bin\",2024-04-02 03:00:00,Deleted Chat Logs,,alex_r,524288
TSK_KEYWORD_HIT,,,Browser History,2024-04-01 22:00:00, "Search: buy substances dark web anonymous [CRITICAL]",,alex_r,
TSK_KEYWORD_HIT,,,Browser History,2024-04-01 23:00:00, "Search: monero untraceable cryptocurrency [HIGH]",,alex_r,
TSK_KEYWORD_HIT,,,Browser History,2024-04-02 00:00:00, "Search: darknet market best 2024 [CRITICAL]",,alex_r,
TSK_KEYWORD_HIT,,,Browser History,2024-04-02 01:00:00, "Search: how to use tor anonymously [HIGH]",,alex_r,
TSK_KEYWORD_HIT,,,Browser History,2024-04-02 02:00:00, "Search: veracrypt tutorial hidden volume [HIGH]",,alex_r,
TSK_KEYWORD_HIT,,,Browser History,2024-04-02 03:00:00, "Search: pgp encryption guide darknet [MEDIUM]",,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
TSK_WEB_HISTORY,,,https://protonmail.com/inbox,2024-04-01 22:00:00,ProtonMail Session,,alex_r,
