[2024-04-01 22:00:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2000
[2024-04-01 22:01:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2001
[2024-04-01 22:02:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2002
[2024-04-01 22:03:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2003
[2024-04-01 22:04:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2004
[2024-04-01 22:05:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2005
[2024-04-01 22:06:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2006
[2024-04-01 22:07:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2007
[2024-04-01 22:08:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2008
[2024-04-01 22:09:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2009
[2024-04-01 22:10:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2010
[2024-04-01 22:11:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2011
[2024-04-01 22:12:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2012
[2024-04-01 22:13:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2013
[2024-04-01 22:14:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2014
[2024-04-01 22:15:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2015
[2024-04-01 22:16:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2016
[2024-04-01 22:17:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2017
[2024-04-01 22:18:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2018
[2024-04-01 22:19:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2019
[2024-04-01 22:20:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2020
[2024-04-01 22:21:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2021
[2024-04-01 22:22:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2022
[2024-04-01 22:23:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2023
[2024-04-01 22:24:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2024
[2024-04-01 22:25:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2025
[2024-04-01 22:26:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2026
[2024-04-01 22:27:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2027
[2024-04-01 22:28:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2028
[2024-04-01 22:29:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2029
[2024-04-01 22:30:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2030
[2024-04-01 22:31:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2031
[2024-04-01 22:32:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2032
[2024-04-01 22:33:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2033
[2024-04-01 22:34:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2034
[2024-04-01 22:35:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2035
[2024-04-01 22:36:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2036
[2024-04-01 22:37:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2037
[2024-04-01 22:38:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2038
[2024-04-01 22:39:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2039
[2024-04-01 23:40:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2040
[2024-04-01 23:41:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2041
[2024-04-01 23:42:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2042
[2024-04-01 23:43:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2043
[2024-04-01 23:44:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2044
[2024-04-01 23:45:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2045
[2024-04-01 23:46:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2046
[2024-04-01 23:47:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2047
[2024-04-01 23:48:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2048
[2024-04-01 23:49:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2049
[2024-04-01 23:50:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2050
[2024-04-01 23:51:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2051
