[2024-03-15 08:00:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1000
[2024-03-15 08:01:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1001
[2024-03-15 08:02:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1002
[2024-03-15 08:03:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1003
[2024-03-15 08:04:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1004
[2024-03-15 08:05:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1005
[2024-03-15 08:06:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1006
[2024-03-15 08:07:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1007
[2024-03-15 08:08:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1008
[2024-03-15 08:09:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1009
[2024-03-15 08:10:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1010
[2024-03-15 08:11:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1011
[2024-03-15 08:12:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1012
[2024-03-15 08:13:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1013
[2024-03-15 08:14:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1014
[2024-03-15 08:15:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1015
[2024-03-15 08:16:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1016
[2024-03-15 08:17:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1017
[2024-03-15 08:18:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1018
[2024-03-15 08:19:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1019
[2024-03-15 08:20:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1020
[2024-03-15 08:21:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1021
[2024-03-15 08:22:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1022
[2024-03-15 08:23:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1023
[2024-03-15 08:24:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1024
[2024-03-15 08:25:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1025
[2024-03-15 08:26:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1026
[2024-03-15 08:27:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1027
[2024-03-15 08:28:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1028
[2024-03-15 08:29:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1029
[2024-03-15 09:30:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1030
[2024-03-15 09:31:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1031
[2024-03-15 09:32:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1032
[2024-03-15 09:33:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1033
[2024-03-15 09:34:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1034
[2024-03-15 09:35:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1035
[2024-03-15 09:36:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1036
[2024-03-15 09:37:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1037
[2024-03-15 09:38:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1038
[2024-03-15 09:39:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1039
[2024-03-15 09:40:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1040
[2024-03-15 09:41:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1041
[2024-03-15 09:42:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1042
[2024-03-15 09:43:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1043
[2024-03-15 09:44:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1044
[2024-03-15 09:45:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1045
[2024-03-15 09:46:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1046
[2024-03-15 09:47:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1047
[2024-03-15 09:48:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1048
[2024-03-15 09:49:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1049
[2024-03-15 09:50:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1050
[2024-03-15 09:51:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1051
[2024-03-15 09:52:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1052
[2024-03-15 09:53:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1053
[2024-03-15 09:54:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1054
[2024-03-15 09:55:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1055
[2024-03-15 09:56:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1056
[2024-03-15 09:57:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1057
[2024-03-15 09:58:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1058
[2024-03-15 09:59:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1059
[2024-03-15 10:00:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1060
[2024-03-15 10:01:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1061
[2024-03-15 10:02:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1062
[2024-03-15 10:03:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1063
[2024-03-15 10:04:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1064
[2024-03-15 10:05:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1065
[2024-03-15 10:06:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1066
